target_cbsa,cbsa_code,county_geoid,tract_geoid,year,eligible_v1,gate_pop,gate_price,gate_density,pop_growth_5yr,units_per_1k_3yr,pop_density,price_proxy_pctl,commute_intensity_b,growth_raw,units_raw,headroom_raw,price_raw,commute_raw,z_growth,z_units,z_headroom,z_price,z_commute,contrib_growth,contrib_units,contrib_headroom,contrib_price,contrib_commute,tract_score,tract_rank,why_tags,is_scored
27260,27260,12031,12031013100,2024,1,1,1,1,0.12424663885025498,3820.0687285223366,2319.7407091995233,0.5142124542124542,13.418467742687945,0.12424663885025498,3820.0687285223366,-2319.7407091995233,-0.5142124542124542,13.418467742687945,-0.5644758853466856,1.7244555629896545,-0.7932233071730814,-0.5175680221129807,-1.1779304369134351,-0.22579035413867424,0.43111389074741363,-0.1586446614346163,-0.051756802211298074,-0.05889652184567176,-0.06397444888284676,39,High housing pipeline | Low density headroom,TRUE
27260,27260,12031,12031013200,2024,0,0,0,1,-0.07925740806854695,3591.9607082848647,429.5432841987532,0.8120512820512821,9.403477087879388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013301,2024,0,0,1,1,NA,2775.2146994208106,1495.912387219149,0.43065476190476193,22.018768225049026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013302,2024,0,0,1,0,NA,2023.5182758118538,4650.328398429704,0.210746336996337,23.112707089325724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013402,2024,0,0,1,1,0.12049834533774577,1609.393097058142,3311.090901499748,0.15669871794871795,18.944136579679622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013403,2024,0,0,1,1,-0.11444878341844397,3142.356399819086,3309.4585647283957,0.46445512820512824,17.936955795463366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013404,2024,0,0,1,0,0.013054830287206266,2984.4286941580754,4211.33410188774,0.2928708791208791,15.617202134217928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013502,2024,0,0,1,1,-0.05707762557077625,2803.773204196933,1972.0232348841555,0.3511813186813187,22.13537855712802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013504,2024,0,0,1,0,-0.025425246195165622,1701.9413313736297,4084.8753888063593,0.13955128205128206,22.17807589884664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
27260,27260,12031,12031013522,2024,0,0,1,1,0.15646059185467331,2347.0146102525123,1436.464519996351,0.4549130036630037,10.770929255440205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
